MTU,Out Area,In Area,Physical Flow (MW)
05/01/2022 06:00:00 - 05/01/2022 07:00:00,BZN|FR,BZN|GB(IFA2),0.00
05/01/2022 06:00:00 - 05/01/2022 07:00:00,BZN|GB(IFA2),BZN|FR,68.00
05/01/2022 07:00:00 - 05/01/2022 08:00:00,BZN|FR,BZN|GB(IFA2),17.00
05/01/2022 07:00:00 - 05/01/2022 08:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2022 08:00:00 - 05/01/2022 09:00:00,BZN|FR,BZN|GB(IFA2),70.00
05/01/2022 08:00:00 - 05/01/2022 09:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2022 09:00:00 - 05/01/2022 10:00:00,BZN|FR,BZN|GB(IFA2),617.00
05/01/2022 09:00:00 - 05/01/2022 10:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2022 10:00:00 - 05/01/2022 11:00:00,BZN|FR,BZN|GB(IFA2),783.00
05/01/2022 10:00:00 - 05/01/2022 11:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2022 11:00:00 - 05/01/2022 12:00:00,BZN|FR,BZN|GB(IFA2),618.00
05/01/2022 11:00:00 - 05/01/2022 12:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2022 12:00:00 - 05/01/2022 13:00:00,BZN|FR,BZN|GB(IFA2),941.00
05/01/2022 12:00:00 - 05/01/2022 13:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2022 13:00:00 - 05/01/2022 14:00:00,BZN|FR,BZN|GB(IFA2),974.00
05/01/2022 13:00:00 - 05/01/2022 14:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2022 14:00:00 - 05/01/2022 15:00:00,BZN|FR,BZN|GB(IFA2),1024.00
05/01/2022 14:00:00 - 05/01/2022 15:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2022 15:00:00 - 05/01/2022 16:00:00,BZN|FR,BZN|GB(IFA2),1025.00
05/01/2022 15:00:00 - 05/01/2022 16:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2022 16:00:00 - 05/01/2022 17:00:00,BZN|FR,BZN|GB(IFA2),1025.00
05/01/2022 16:00:00 - 05/01/2022 17:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2022 17:00:00 - 05/01/2022 18:00:00,BZN|FR,BZN|GB(IFA2),1025.00
05/01/2022 17:00:00 - 05/01/2022 18:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2022 18:00:00 - 05/01/2022 19:00:00,BZN|FR,BZN|GB(IFA2),1025.00
05/01/2022 18:00:00 - 05/01/2022 19:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2022 19:00:00 - 05/01/2022 20:00:00,BZN|FR,BZN|GB(IFA2),1025.00
05/01/2022 19:00:00 - 05/01/2022 20:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2022 20:00:00 - 05/01/2022 21:00:00,BZN|FR,BZN|GB(IFA2),1025.00
05/01/2022 20:00:00 - 05/01/2022 21:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2022 21:00:00 - 05/01/2022 22:00:00,BZN|FR,BZN|GB(IFA2),1025.00
05/01/2022 21:00:00 - 05/01/2022 22:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2022 22:00:00 - 05/01/2022 23:00:00,BZN|FR,BZN|GB(IFA2),1025.00
05/01/2022 22:00:00 - 05/01/2022 23:00:00,BZN|GB(IFA2),BZN|FR,0.00
05/01/2022 23:00:00 - 06/01/2022 00:00:00,BZN|FR,BZN|GB(IFA2),1021.00
05/01/2022 23:00:00 - 06/01/2022 00:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2022 00:00:00 - 06/01/2022 01:00:00,BZN|FR,BZN|GB(IFA2),1025.00
06/01/2022 00:00:00 - 06/01/2022 01:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2022 01:00:00 - 06/01/2022 02:00:00,BZN|FR,BZN|GB(IFA2),1025.00
06/01/2022 01:00:00 - 06/01/2022 02:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2022 02:00:00 - 06/01/2022 03:00:00,BZN|FR,BZN|GB(IFA2),1026.00
06/01/2022 02:00:00 - 06/01/2022 03:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2022 03:00:00 - 06/01/2022 04:00:00,BZN|FR,BZN|GB(IFA2),1000.00
06/01/2022 03:00:00 - 06/01/2022 04:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2022 04:00:00 - 06/01/2022 05:00:00,BZN|FR,BZN|GB(IFA2),901.00
06/01/2022 04:00:00 - 06/01/2022 05:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2022 05:00:00 - 06/01/2022 06:00:00,BZN|FR,BZN|GB(IFA2),0.00
06/01/2022 05:00:00 - 06/01/2022 06:00:00,BZN|GB(IFA2),BZN|FR,54.00
06/01/2022 06:00:00 - 06/01/2022 07:00:00,BZN|FR,BZN|GB(IFA2),434.00
06/01/2022 06:00:00 - 06/01/2022 07:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2022 07:00:00 - 06/01/2022 08:00:00,BZN|FR,BZN|GB(IFA2),850.00
06/01/2022 07:00:00 - 06/01/2022 08:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2022 08:00:00 - 06/01/2022 09:00:00,BZN|FR,BZN|GB(IFA2),947.00
06/01/2022 08:00:00 - 06/01/2022 09:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2022 09:00:00 - 06/01/2022 10:00:00,BZN|FR,BZN|GB(IFA2),1010.00
06/01/2022 09:00:00 - 06/01/2022 10:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2022 10:00:00 - 06/01/2022 11:00:00,BZN|FR,BZN|GB(IFA2),769.00
06/01/2022 10:00:00 - 06/01/2022 11:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2022 11:00:00 - 06/01/2022 12:00:00,BZN|FR,BZN|GB(IFA2),887.00
06/01/2022 11:00:00 - 06/01/2022 12:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2022 12:00:00 - 06/01/2022 13:00:00,BZN|FR,BZN|GB(IFA2),761.00
06/01/2022 12:00:00 - 06/01/2022 13:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2022 13:00:00 - 06/01/2022 14:00:00,BZN|FR,BZN|GB(IFA2),624.00
06/01/2022 13:00:00 - 06/01/2022 14:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2022 14:00:00 - 06/01/2022 15:00:00,BZN|FR,BZN|GB(IFA2),495.00
06/01/2022 14:00:00 - 06/01/2022 15:00:00,BZN|GB(IFA2),BZN|FR,0.00
06/01/2022 15:00:00 - 06/01/2022 16:00:00,BZN|FR,BZN|GB(IFA2),576.00
